home,away,home_goals,away_goals,odds_home,odds_draw,odds_away,importance,neutral
Argentina,Saudi Arabia,1,2,1.16,8.0,17.0,world_cup,1
Argentina,Mexico,2,0,1.70,3.50,5.50,world_cup,1
Poland,Argentina,0,2,6.50,4.00,1.55,world_cup,1
France,Australia,4,1,1.28,6.00,9.50,world_cup,1
France,Denmark,2,1,1.90,3.40,4.20,world_cup,1
Denmark,Tunisia,0,0,1.50,4.00,7.50,world_cup,1
Spain,Costa Rica,7,0,1.18,7.50,17.0,world_cup,1
Spain,Germany,1,1,2.70,3.30,2.60,world_cup,1
Germany,Japan,1,2,1.33,5.00,9.00,world_cup,1
Japan,Spain,2,1,7.00,4.50,1.50,world_cup,1
Brazil,Serbia,2,0,1.40,4.50,8.50,world_cup,1
Brazil,Switzerland,1,0,1.45,4.00,8.00,world_cup,1
Portugal,Ghana,3,2,1.40,4.80,8.00,world_cup,1
Portugal,Uruguay,2,0,2.60,3.20,2.90,world_cup,1
England,Iran,6,2,1.30,5.50,11.0,world_cup,1
England,USA,0,0,1.50,3.90,7.50,world_cup,1
Belgium,Morocco,0,2,1.50,3.90,7.50,world_cup,1
Belgium,Canada,1,0,1.40,4.50,8.50,world_cup,1
Netherlands,Senegal,2,0,1.70,3.60,5.50,world_cup,1
Croatia,Morocco,0,0,2.50,3.10,3.40,world_cup,1
Cameroon,Brazil,1,0,11.0,5.50,1.33,world_cup,1
Korea Republic,Portugal,2,1,6.00,4.20,1.55,world_cup,1
